,CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL, 
11293,14DES0039E,VESPERTINO,JOSE ROSAS MORENO,LICENCIADO ALFONSO DE ALBA MARTIN 50,1,LAGOS DE MORENO,9342,CRUZ DE LOS CHIRLITOS,53,LAGOS DE MORENO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0435,0.0582,0.0255,0.7249,
11294,14DES0039E,MATUTINO,JOSE ROSAS MORENO,LICENCIADO ALFONSO DE ALBA MARTIN 50,1,LAGOS DE MORENO,9342,CRUZ DE LOS CHIRLITOS,53,LAGOS DE MORENO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0059,0.0134,0.009,0.9593,
11295,14DES0040U,VESPERTINO,LEYES DE REFORMA,VICTOR FELIX ESTRADA GOMEZ 24,1,MAGDALENA,0,0,55,MAGDALENA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0809,0,0,0.7053,
11296,14DES0040U,MATUTINO,LEYES DE REFORMA,VICTOR FELIX ESTRADA GOMEZ 24,1,MAGDALENA,0,0,55,MAGDALENA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0339,0,0,0.8542,
11297,14DES0041T,MATUTINO,BENITO JUAREZ GARCIA,ZARAGOZA 20,17,ZAPOTITAN DE HIDALGO,0,0,50,JOCOTEPEC,FEDERALIZADO,SECUNDARIA,GENERAL,0.0603,0,0,0.775,
11298,14DES0042S,VESPERTINO,SALVADOR OROZCO LORETO,RAMON CORONA,1,TLAQUEPAQUE,9075,RESIDENCIAL LA SOLEDAD,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0401,0,0,0.9035,
11299,14DES0042S,MATUTINO,SALVADOR OROZCO LORETO,RAMON CORONA,1,TLAQUEPAQUE,9075,RESIDENCIAL LA SOLEDAD,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0225,0,0,0.8104,
11300,14DES0043R,VESPERTINO,PONCIANO ARRIAGA,PROLONGACION AQUILES SERDAN,14,SANTA ANITA,0,0,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0164,0.0427,0.026,0.7104,
11301,14DES0043R,MATUTINO,PONCIANO ARRIAGA,PROLONGACION AQUILES SERDAN,14,SANTA ANITA,0,0,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0038,0.0101,0.0063,0.9236,
11302,14DES0044Q,VESPERTINO,CUAUHTEMOC,MARIA TERESA CAMPIRANO 43,1,ZAPOPAN,9080,LA EXPERIENCIA,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.036,0.018,0.0124,0.8352,
